casa,dominio,type_membre,site_publicado,status_1709,observacao
Les Studios Renart Inc.,studiosrenart.com,43,http://www.studiosrenart.com,PAREDE-WIX-FORMS,"porta espontanea Join Our Team, 8 campos sem isca; reCAPTCHA v2 de caixa injetado no clique; vagas de personagem eram template de repeater"
RageCure Games,ragecure.games,43,http://www.ragecure.games,PAREDE-WIX-FORMS,"careers renderiza Oh! Party is full at the moment; porta espontanea Submit CV; Wix, parede por assinatura de plataforma"
Delirium Den,store.steampowered.com,43,https://store.steampowered.com/developer/delirium_den,PORTA-SONDADA-SEM-VAGA,
Foolbox Studio,store.steampowered.com,43,https://store.steampowered.com/app/2731590/Block_Shop/,PORTA-SONDADA-SEM-VAGA,
Grym Games,store.steampowered.com,43,https://store.steampowered.com/app/2118100/Okubi/,PORTA-SONDADA-SEM-VAGA,
CrossPlanet Team,store.steampowered.com,43,https://store.steampowered.com/app/1850010/CrossPlanet/,PORTA-SONDADA-SEM-VAGA,
Altitude Interactive Studio,facebook.com,43,http://facebook.com/altitudeinteractivestudio,PORTA-SONDADA-SEM-VAGA,
Studio Pandagrams,twitter.com,43,https://twitter.com/PandagramsG,PORTA-SONDADA-SEM-VAGA,
Productions Flambeaux,facebook.com,43,https://www.facebook.com/productionsflambeaux,PORTA-SONDADA-SEM-VAGA,
De Chez Nous,decheznous.studio,43,https://www.decheznous.studio/,SEM-PAGINA-DE-CARREIRA,
Triolet noire,trioletnoire.wixsite.com,43,https://trioletnoire.wixsite.com/trioletnoire,SEM-PAGINA-DE-CARREIRA,
Milosz Siebert,miloszsiebert.com,43,http://www.miloszsiebert.com,SEM-PAGINA-DE-CARREIRA,
Root Motion Studio,rootmotion.games,43,https://rootmotion.games/,SEM-PAGINA-DE-CARREIRA,
Soul Fuel Games,soulfuelgames.com,43,https://www.soulfuelgames.com/,SEM-PAGINA-DE-CARREIRA,
Grimodular Studio,grimodular.com,43,https://x.com/grimodular,SEM-PAGINA-DE-CARREIRA,
Ludo World,ludo.world,43,https://ludo.world/,SEM-PAGINA-DE-CARREIRA,
HippiePunk Games,hippiepunkgames.com,43,https://www.hippiepunkgames.com/,SEM-PAGINA-DE-CARREIRA,
Invisible Landscapes Studio,invisiblelandscapesstudio.carrd.co,43,https://invisiblelandscapesstudio.carrd.co/,SEM-PAGINA-DE-CARREIRA,
WhySo Studios,whysostudios.ca,43,http://whysostudios.ca,SEM-PAGINA-DE-CARREIRA,
FabLab Games,fablabgames.com,43,https://fablabgames.com,SEM-PAGINA-DE-CARREIRA,
Jungle de Requins inc,àvenir,43,http://À venir,SEM-PAGINA-DE-CARREIRA,
Studios Three_Peze,threepezestudios.com,43,https://threepezestudios.com/,SEM-PAGINA-DE-CARREIRA,
cd-labs,charlesdoucet.com,43,https://charlesdoucet.com/,SEM-PAGINA-DE-CARREIRA,
Trying Errors,tryingerrors.com,43,https://www.tryingerrors.com/,SEM-PAGINA-DE-CARREIRA,
iwot games Montreal,thewheeloftime.com,44,https://thewheeloftime.com/,SEM-PAGINA-DE-CARREIRA,
Studio des Cendres,studiodescendres.com,43,https://studiodescendres.com/,SEM-PAGINA-DE-CARREIRA,
Solideo,solideo.ca,43,http://www.solideo.ca,SEM-PAGINA-DE-CARREIRA,
Atomicslimes,atomicslimes.io,43,https://atomicslimes.io/,SEM-PAGINA-DE-CARREIRA,
Virtual Tales Studio,virtual-tales.com,43,https://virtual-tales.com/,SEM-PAGINA-DE-CARREIRA,
Maarti Games,maarti.net,43,https://maarti.net,SEM-PAGINA-DE-CARREIRA,
Pas Game Studio,pasgame.ca,43,https://pasgame.ca/,SEM-PAGINA-DE-CARREIRA,
Ernest Szoka,rebelbinary.com,43,https://www.rebelbinary.com/,SEM-PAGINA-DE-CARREIRA,
Studio Adam Scott,adamscott.studio,43,https://adamscott.studio,SEM-PAGINA-DE-CARREIRA,
Vox Prima,voxprima.ca,43,http://voxprima.ca,SEM-PAGINA-DE-CARREIRA,
Sanguinaire,sanguinaire.com,43,https://sanguinaire.com/,SEM-PAGINA-DE-CARREIRA,
Elorth,hardchip.io,43,https://hardchip.io/,SEM-PAGINA-DE-CARREIRA,
Ivalys Studios,pluralys.ca,43,https://www.pluralys.ca/,SEM-PAGINA-DE-CARREIRA,
Exnilo Studio,exnilostudio.com,43,https://store.steampowered.com/app/3295530/Strand/,SEM-PAGINA-DE-CARREIRA,
Infrason Studio,infrason.ca,"45,43",http://infrason.ca,SEM-PAGINA-DE-CARREIRA,
Discoglobe Interactive,discoglobe.ca,43,http://www.discoglobe.ca,SEM-PAGINA-DE-CARREIRA,
7kingdom Games,7-kingdom.com,"45,43,44",https://www.7-kingdom.com/,SEM-PAGINA-DE-CARREIRA,
"CREEK &amp; RIVER Co., Ltd.",cri.co.jp,"43,44",https://www.cri.co.jp/,SEM-PAGINA-DE-CARREIRA,
Small is Beautiful Studio,small.itch.io,43,https://small.itch.io,SEM-PAGINA-DE-CARREIRA,
Bindaz Divertissements,bindaz.ca,43,http://Bindaz.ca,SEM-PAGINA-DE-CARREIRA,
Les Logiciels RedoApps,redoapps.com,"45,43",https://redoapps.com,SEM-PAGINA-DE-CARREIRA,
Stupid industries,stupidindustries.com,43,https://www.stupidindustries.com,SEM-PAGINA-DE-CARREIRA,
technofou colorstorm,bycolorstorm.com,43,http://bycolorstorm.com,SEM-PAGINA-DE-CARREIRA,
BonjourBorzoï,bonjourborzoi.net,43,https://bonjourborzoi.net/,SEM-PAGINA-DE-CARREIRA,
Jeux Sam Amuse,samamuse.ca,43,http://www.samamuse.ca,SEM-PAGINA-DE-CARREIRA,
NERVUS Studio,thenervusco.com,"45,43",https://www.thenervusco.com/,SEM-PAGINA-DE-CARREIRA,
Danjorous Games,danjorousgames.com,43,https://danjorousgames.com/,SEM-PAGINA-DE-CARREIRA,
The Homies Network,thehomiesnetwork.com,"45,43",http://Thehomiesnetwork.com,SEM-PAGINA-DE-CARREIRA,
Hannagie Productions Inc.,hannagie.com,43,http://www.hannagie.com,SEM-PAGINA-DE-CARREIRA,
Raging Noodles,ragingnoodles.com,"45,43",https://www.ragingnoodles.com,SEM-PAGINA-DE-CARREIRA,
Kathartik Studio,kathartikstudio.com,43,http://kathartikstudio.com,SEM-PAGINA-DE-CARREIRA,
Strange Shift Studio,chasingtheunseen.com,43,https://store.steampowered.com/app/2143420/Chasing_the_Unseen/,SEM-PAGINA-DE-CARREIRA,
Blue Math Software,bluemathsoftware.com,43,https://www.bluemathsoftware.com/,SEM-PAGINA-DE-CARREIRA,
Bolodil games,bolodilgames.com,43,https://bolodilgames.com/,SEM-PAGINA-DE-CARREIRA,
StarVaders Games,star-vaders.com,43,http://Star-vaders.com,SEM-PAGINA-DE-CARREIRA,
Pieces Games,piecesgames.com,43,http://www.piecesgames.com,SEM-PAGINA-DE-CARREIRA,
Aeon &amp; Star Interactive,aeonstarinteractive.com,43,https://aeonstarinteractive.com/,SEM-PAGINA-DE-CARREIRA,
The Article 19 Group Inc.,article19.com,43,https://article19.com,SEM-PAGINA-DE-CARREIRA,
Baobab Games,baobabgames.ca,43,https://www.baobabgames.ca,SEM-PAGINA-DE-CARREIRA,
Canorous Interactive,canorousinteractive.com,43,http://www.canorousinteractive.com,SEM-PAGINA-DE-CARREIRA,
Gearbox Studio Québec,quebec.gearboxsoftware.com,43,http://quebec.gearboxsoftware.com,SEM-PAGINA-DE-CARREIRA,
RuniQ,studioruniq.com,43,http://www.studioruniq.com/fr,SEM-PAGINA-DE-CARREIRA,
Freeground,freeground.games,43,http://www.freeground.games,SEM-PAGINA-DE-CARREIRA,
Bew Games,bewgames.com,43,https://www.bewgames.com,SEM-PAGINA-DE-CARREIRA,
Sloe Burn Games,sloeburngames.com,43,http://sloeburngames.com,SEM-PAGINA-DE-CARREIRA,
PARA,paragamestudio.com,43,http://paragamestudio.com,SEM-PAGINA-DE-CARREIRA,
Porcelaine &#8211; Jeux Numériques | Interactive Games,porcelainegames.com,43,http://porcelainegames.com,SEM-PAGINA-DE-CARREIRA,
Small Detour Games,smalldetour.com,43,http://www.smalldetour.com,SEM-PAGINA-DE-CARREIRA,
777 Pixels,777pixels.ca,43,http://777pixels.ca,SEM-PAGINA-DE-CARREIRA,
TRIPLE HEY!,triplehey.com,43,https://triplehey.com/,SEM-PAGINA-DE-CARREIRA,
No Deadlines,nodeadlines.ca,43,http://nodeadlines.ca,SEM-PAGINA-DE-CARREIRA,
Honest Demon,honestdemon.com,43,http://HonestDemon.com,SEM-PAGINA-DE-CARREIRA,
Agence Friedman,agencefriedman.com,43,http://www.agencefriedman.com,SEM-PAGINA-DE-CARREIRA,
Studio Disflorinatis,disflorinatis.com,43,https://disflorinatis.com/,SEM-PAGINA-DE-CARREIRA,
Devil Studios,devil-studios.com,43,https://devil-studios.com,SEM-PAGINA-DE-CARREIRA,
Fifty North Studios,fiftynorthstudios.com,43,http://www.fiftynorthstudios.com,SEM-PAGINA-DE-CARREIRA,
SUBLIME,outbrkgame.com,43,http://www.outbrkgame.com,SEM-PAGINA-DE-CARREIRA,
Misstic Studio,missticstudio.com,43,https://missticstudio.com/,SEM-PAGINA-DE-CARREIRA,
Studio Zéro,zero-one.fr,43,https://zero-one.fr/,SEM-PAGINA-DE-CARREIRA,
Excellent Rectangle,tapetotapegame.com,43,"https://store.steampowered.com/app/1566200/Tape_to_Tape/#:~:text=TapetoTapeisa,equipmentandalotmore.",SEM-PAGINA-DE-CARREIRA,
XperimentalZ Games,xperimentalzgames.com,43,http://www.xperimentalzgames.com/,SEM-PAGINA-DE-CARREIRA,
Somewhat Software Inc.,somewhatsoftware.com,43,https://www.somewhatsoftware.com/,SEM-PAGINA-DE-CARREIRA,
A Little Smarter,alittlesmarter.com,43,https://alittlesmarter.com/,SEM-PAGINA-DE-CARREIRA,
Cochlea Team,cochleateam.com,43,https://cochleateam.com/,SEM-PAGINA-DE-CARREIRA,
2 Igloos,2igloos.com,43,https://2igloos.com/,SEM-PAGINA-DE-CARREIRA,
Écran Partagé,ecranpartage.ca,43,https://ecranpartage.ca/,SEM-PAGINA-DE-CARREIRA,
WoodRunner Games,woodrunnergames.com,43,https://www.woodrunnergames.com/,SEM-PAGINA-DE-CARREIRA,
O.S.A.A.T,studiososaat.wordpress.com,43,https://studiososaat.wordpress.com/,SEM-PAGINA-DE-CARREIRA,
Bold Spirit Game Studio,boldspiritgamestudio.com,43,https://www.boldspiritgamestudio.com/,SEM-PAGINA-DE-CARREIRA,
Hackquarius,hackquarius.com,"46,45,43",https://hackquarius.com,SEM-PAGINA-DE-CARREIRA,
Servo Games,servogames.com,43,https://www.servogames.com/,SEM-PAGINA-DE-CARREIRA,
MadLife Divertissement,madlifegames.com,43,https://madlifegames.com/,SEM-PAGINA-DE-CARREIRA,
Deuzspark Technologies,tech.deuzspark.com,"45,43",https://www.tech.deuzspark.com,SEM-PAGINA-DE-CARREIRA,
Studio Squido,squidostudio.com,"45,43",https://www.squidostudio.com,SEM-PAGINA-DE-CARREIRA,
ARVision Games inc.,arvisiongames.com,43,http://arvisiongames.com,SEM-PAGINA-DE-CARREIRA,
Catalyst Studio,catalyststudio.ca,43,https://catalyststudio.ca,SEM-PAGINA-DE-CARREIRA,
Atracktiv,atracktiv.com,43,https://atracktiv.com,SEM-PAGINA-DE-CARREIRA,
Société Nostra Studio,nostra-studio.com,43,http://nostra-studio.com/,SEM-PAGINA-DE-CARREIRA,
Studio lonely boy Inc.,lonelyboystudio.com,43,https://www.lonelyboystudio.com/,SEM-PAGINA-DE-CARREIRA,
Vagabond,vagabond.games,43,https://vagabond.games,SEM-PAGINA-DE-CARREIRA,
Carcajou Games,carcajougames.com,"45,43",http://www.carcajougames.com,SEM-PAGINA-DE-CARREIRA,
Watcha Games,watchagames.com,"45,43",https://www.watchagames.com,SEM-PAGINA-DE-CARREIRA,
Vertex Zero,vertexzerostudio.com,43,http://www.vertexzerostudio.com,SEM-PAGINA-DE-CARREIRA,
Urubu Interactive,urubu-interactive.com,"47,43",http://www.urubu-interactive.com,SEM-PAGINA-DE-CARREIRA,
Triple Scale Games,triplescalegames.com,"45,43",https://www.triplescalegames.com/,SEM-PAGINA-DE-CARREIRA,
Tobafeu Studio inc.,tobafeu.studio,43,https://tobafeu.studio/,SEM-PAGINA-DE-CARREIRA,
Syllabes,syllabes.com,43,https://www.syllabes.com/,SEM-PAGINA-DE-CARREIRA,
Sleeping Beast Games,sleepingbeastgames.com,43,http://www.sleepingbeastgames.com/,SEM-PAGINA-DE-CARREIRA,
SilverJack Audio,silverjackaudio.com,43,https://www.silverjackaudio.com/,SEM-PAGINA-DE-CARREIRA,
Playtogether Studio,playtogether-studio.com,43,https://www.playtogether-studio.com/,SEM-PAGINA-DE-CARREIRA,
Playmind,playmind.com,43,http://playmind.com/,SEM-PAGINA-DE-CARREIRA,
Pamplemousse Games,pamplemoussegames.com,43,https://www.pamplemoussegames.com/,SEM-PAGINA-DE-CARREIRA,
oddbreeze,oddbreeze.com,"47,43",http://www.oddbreeze.com/,SEM-PAGINA-DE-CARREIRA,
Lowbirth Games,lowbirthgames.com,43,https://www.lowbirthgames.com/en,SEM-PAGINA-DE-CARREIRA,
LORE NINE,lorenine.com,43,https://store.steampowered.com/app/1067900/HOME/,SEM-PAGINA-DE-CARREIRA,
Studio Invisible,studioinvisible.ca,"45,43",http://www.studioinvisible.ca/,SEM-PAGINA-DE-CARREIRA,
Hexmind,hexmind.com,43,http://hexmind.com,SEM-PAGINA-DE-CARREIRA,
gFaUmNe,gfaumne.com,43,https://www.gfaumne.com/,SEM-PAGINA-DE-CARREIRA,
Gaia Dream Creation,gaiadreamcreation.com,43,https://www.gaiadreamcreation.com/,SEM-PAGINA-DE-CARREIRA,
Fougarou,fougarou-productions.itch.io,"45,43",https://fougarou-productions.itch.io/,SEM-PAGINA-DE-CARREIRA,
Erupting Avocado,eruptingavocado.com,43,https://eruptingavocado.com/,SEM-PAGINA-DE-CARREIRA,
Super Splendide,supersplendide.com,43,http://www.supersplendide.com,SEM-PORTA,/emplois e pagina de pitch deck com um PDF e um mailto
Vellocet,vellocetsoftware.com,43,https://vellocetsoftware.com,VAGA-EXPIRADA,3D character artist existe e diz Sorry! This job has expired; regime revenue share; perfil de recem-formado
Something Wicked Games,somethingwickedgames.com,43,http://somethingwickedgames.com,ZERO-VAGA,Our Open Positions com zero vaga; unico form e Gravity de um campo (boletim)
Soliton Interactive,solitoninteractive.com,43,https://solitoninteractive.com,ZERO-VAGA,"No position available at the moment nas quatro equipes, inclusive Art & Animation"
Paralives Studio,paralives.com,43,https://www.paralives.com/,ZERO-VAGA,We are not currently recruiting; rota e Get in touch
